,City,Latitude,Longitude,Temperature,Humidity,Clouds,Wind Speed
273,santa rosa,14.31,121.11,79.83,88,42,1.12
274,goderich,43.75,-81.72,84.69,67,99,12.71
275,vila velha,-20.33,-40.29,71.6,94,75,3.36
276,rabo de peixe,37.8,-25.58,69.8,88,20,10.29
277,soyo,-6.13,12.37,72.41,84,0,8.3
278,cayenne,4.93,-52.33,78.8,88,64,9.42
279,saldanha,-33.01,17.94,48.2,81,0,5.82
280,santa ines,-3.67,-45.38,76.68,68,25,0.98
281,hasaki,35.73,140.83,78.26,88,75,5.82
282,slave lake,55.28,-114.77,68.0,68,1,4.7
283,christchurch,-43.53,172.63,46.17,100,0,3.36
284,kibakwe,-6.72,36.37,58.75,74,0,3.87
285,luderitz,-26.65,15.16,62.6,63,0,6.93
286,san andres,12.58,-81.7,80.6,88,90,4.7
287,pangnirtung,66.15,-65.71,53.85,63,100,4.21
288,san quintin,30.48,-115.95,74.08,65,4,14.18
289,union,40.63,-74.27,91.54,31,75,13.87
290,dudinka,69.41,86.18,44.6,87,92,15.66
291,florida,28.75,-82.5,84.81,70,1,7.27
292,madikeri,12.42,75.73,75.2,94,40,3.36
293,esperance,-33.87,121.9,50.0,87,86,20.8
294,takoradi,4.88,-1.76,74.7,85,71,10.42
295,lokomotivnyy,53.01,60.57,56.43,92,55,6.2
296,khash,28.22,61.22,69.62,82,1,4.68
297,mogok,22.92,96.5,67.42,100,100,2.48
298,mikkeli,61.69,27.27,55.99,94,0,3.67
299,jiuquan,39.74,98.52,71.69,22,19,8.08
300,betafo,-19.83,46.85,44.76,80,1,5.41
301,aitape,-3.14,142.35,79.11,81,99,5.12
302,alofi,-19.06,-169.92,75.2,88,57,13.87
303,yulara,-25.24,130.99,39.2,80,0,7.27
304,kvarkeno,52.08,59.73,57.43,93,48,5.35
305,salinopolis,-0.61,-47.36,79.86,79,26,8.97
306,chunhuhub,19.55,-88.68,87.01,60,100,6.67
307,dunedin,-45.87,170.5,48.0,71,0,10.0
308,nioro,13.35,-15.75,78.94,87,100,9.42
309,upernavik,72.79,-56.15,44.91,86,91,5.82
310,airai,-8.93,125.41,53.24,81,79,4.7
311,balkanabat,39.51,54.37,92.25,31,0,3.89
312,syumsi,57.11,51.61,54.77,94,48,3.74
313,loukhi,66.08,33.04,52.39,95,97,3.11
314,baruun-urt,46.68,113.28,60.19,80,28,8.01
315,miraflores,19.22,-98.81,68.86,63,75,5.82
316,gunjur,13.2,-16.73,80.6,94,20,6.64
317,wajima,37.4,136.9,74.61,90,86,8.9
318,buala,-8.14,159.59,82.33,80,69,11.16
319,acari,-15.43,-74.62,68.59,51,0,6.91
320,banfora,10.63,-4.77,74.25,90,15,5.23
321,mandera,3.94,41.87,78.6,62,16,17.4
322,tshikapa,-6.42,20.8,70.39,31,0,1.43
323,juneau,58.3,-134.42,59.47,87,90,8.05
324,sidney,-33.87,151.21,58.6,99,100,1.99
325,edd,13.93,41.69,87.49,61,100,9.28
326,cockburn town,21.46,-71.14,83.01,80,0,15.14
327,kizukuri,40.81,140.39,67.75,93,75,3.36
328,vung tau,10.35,107.08,81.86,74,94,3.22
329,mahon,39.89,4.27,75.2,78,0,3.36
330,biltine,14.53,20.92,90.73,37,91,10.69
331,ishigaki,24.34,124.16,82.4,94,40,9.17
332,morant bay,17.88,-76.41,88.45,59,20,23.04
333,raduzhnyy,62.1,77.47,49.87,74,1,7.05
334,san patricio,19.22,-104.7,89.6,75,40,11.41
335,hulan ergi,47.2,123.63,74.71,67,0,5.14
336,thayetmyo,19.32,95.18,78.57,84,100,3.83
337,acapulco,16.86,-99.89,87.8,66,75,8.05
338,port shepstone,-30.74,30.45,62.47,78,82,16.28
339,tautira,-17.73,-149.15,84.2,66,75,16.11
340,la libertad,-2.23,-80.9,69.57,84,57,12.28
341,raymond,43.9,-70.47,83.48,65,56,6.35
342,road town,18.42,-64.62,84.78,70,40,12.75
343,yar-sale,66.83,70.83,45.81,83,14,8.46
344,iwanai,42.97,140.51,66.51,82,100,5.08
345,eseka,3.65,10.77,70.86,96,98,1.52
346,chiredzi,-21.05,31.67,56.26,59,0,3.67
347,tigil,57.8,158.67,60.04,61,0,6.73
348,avera,33.19,-82.53,89.08,55,90,5.82
349,muzhi,65.37,64.67,52.21,79,72,3.04
350,komsomolskiy,40.43,71.72,73.4,60,75,4.7
351,chapais,49.78,-74.85,69.8,94,40,4.7
352,biak,-0.91,122.88,75.76,81,98,6.98
353,darhan,49.49,105.92,59.56,90,8,1.63
354,daru,-9.08,143.21,76.78,89,100,14.58
355,onokhoy,51.93,108.07,60.8,93,90,5.32
356,leh,34.17,77.58,62.82,40,4,4.34
357,banda aceh,5.56,95.32,79.32,77,99,7.49
358,alyangula,-13.85,136.42,71.6,64,40,5.82
359,sorland,67.67,12.69,69.8,43,79,16.11
360,fort nelson,58.81,-122.7,78.8,41,20,5.82
361,boyolangu,-8.12,111.89,71.29,88,61,5.46
362,datong,40.09,113.29,63.03,82,67,4.41
363,vila franca do campo,37.72,-25.43,69.8,88,20,10.29
364,akureyri,65.68,-18.09,46.4,75,75,8.05
365,ulladulla,-35.35,150.47,55.92,100,90,34.45
366,ust-barguzin,53.45,108.98,54.23,95,100,6.91
367,pampierstad,-27.78,24.69,44.8,58,0,4.68
368,zyryanovsk,49.74,84.27,52.48,88,33,0.92
369,cooma,-36.23,149.13,44.6,100,90,20.8
370,sfantu gheorghe,45.87,25.78,59.99,79,56,0.89
371,carballo,43.21,-8.69,61.2,88,0,0.49
372,shimoda,34.67,138.95,77.0,87,99,1.99
373,novonukutskiy,53.7,102.71,57.99,89,100,0.85
374,reguengos de monsaraz,38.43,-7.53,86.0,45,0,9.17
375,ocean city,39.28,-74.57,86.76,52,20,9.17
376,qinhuangdao,39.93,119.59,73.44,70,92,3.69
377,muskegon,43.3,-86.13,87.48,55,40,17.22
378,kargasok,59.06,80.86,54.64,86,99,5.66
379,auki,-8.77,160.7,81.23,81,75,4.38
380,kayseri,38.74,35.5,66.2,48,0,5.82
381,quanzhou,24.91,118.59,82.4,88,20,4.47
382,nago,26.59,127.98,81.68,88,75,12.75
383,medicine hat,50.05,-110.67,80.08,29,20,11.41
384,cherskiy,68.75,161.3,78.49,35,6,15.75
385,santa maria,-29.68,-53.81,57.2,67,12,5.82
386,north bend,43.41,-124.22,77.54,68,1,11.41
387,el alto,-4.27,-81.21,66.11,77,12,17.63
388,geraldton,-28.77,114.6,53.6,76,0,17.22
389,souillac,-20.52,57.52,69.8,77,75,12.75
390,la ronge,55.1,-105.28,69.8,64,75,6.93
391,namibe,-15.2,12.15,66.56,82,4,5.84
392,westport,41.14,-73.36,88.5,51,0,9.75
393,juiz de fora,-21.76,-43.35,64.4,59,0,2.24
394,lagos,6.58,3.75,77.0,88,40,5.82
395,half moon bay,37.46,-122.43,73.45,60,5,10.29
396,nelson bay,-32.72,152.15,57.09,93,90,19.46
397,tuatapere,-46.13,167.68,39.0,83,1,3.0
398,grindavik,63.84,-22.43,50.0,87,83,12.75
399,xining,36.62,101.77,55.06,56,40,2.98
400,kieta,-6.22,155.63,82.33,73,98,6.51
401,kalabo,-14.97,22.68,54.41,50,0,5.28
402,sambava,-14.27,50.17,68.18,90,100,13.24
403,wawa,9.9,4.42,74.8,91,28,3.47
404,manama,26.22,50.58,93.2,67,21,4.7
405,labuan,5.28,115.24,77.5,100,40,2.24
406,wexford,52.33,-6.46,59.32,90,100,7.0
407,kyren,51.68,102.14,56.75,74,100,1.34
408,boquira,-12.82,-42.73,72.66,55,49,7.07
409,bathsheba,13.22,-59.52,82.4,78,40,17.22
410,ogbomosho,8.13,4.25,71.46,95,75,6.55
411,longyearbyen,78.22,15.64,59.0,72,40,4.7
412,diu,20.71,70.98,82.11,83,9,8.84
413,shebalino,51.29,85.68,49.1,85,2,1.79
414,kalat,29.02,66.59,69.91,59,43,0.94
415,hare bay,48.85,-54.01,60.39,93,90,11.41
416,kirkuk,35.47,44.39,91.38,12,0,5.88
417,tabou,4.42,-7.35,75.31,80,78,9.15
418,ahipara,-35.17,173.17,53.31,66,0,5.53
419,byron bay,-28.65,153.62,60.19,55,13,20.8
420,isangel,-19.55,169.27,77.0,83,40,11.41
421,saint-joseph,-21.37,55.62,62.44,77,70,4.7
422,susuman,62.78,148.17,65.97,49,51,5.46
423,plattling,48.78,12.87,59.11,90,96,3.27
424,arenapolis,-14.45,-56.85,79.81,30,0,2.82
425,tocopilla,-22.09,-70.2,61.7,61,13,4.56
426,arroyo,41.61,-4.8,75.0,27,0,2.24
427,hastings,50.86,0.57,60.1,90,100,3.0
428,okhotsk,59.38,143.3,58.5,75,0,2.89
429,maniitsoq,65.42,-52.9,47.77,85,65,4.32
430,meulaboh,4.14,96.13,75.43,88,100,5.03
431,cartagena del chaira,1.33,-74.84,73.78,94,91,2.44
432,macau,22.2,113.55,84.94,89,20,8.05
433,svodin,47.91,18.5,67.96,90,95,2.33
434,victoria,22.29,114.16,84.38,74,43,8.99
435,dong xoai,11.53,106.92,74.8,92,67,2.24
436,zaysan,47.47,84.87,63.01,60,68,2.42
437,sioux lookout,50.1,-91.92,78.8,36,20,10.29
438,waipawa,-41.41,175.52,46.18,81,0,5.82
439,vila do maio,15.13,-23.22,75.2,88,20,13.87
440,brae,60.4,-1.35,53.6,87,54,8.05
441,russkiy aktash,55.04,52.12,59.0,82,90,2.24
442,kokstad,-30.55,29.42,46.33,83,99,4.65
443,lucapa,-8.42,20.74,65.64,31,0,4.03
444,birjand,32.87,59.22,73.4,25,0,6.93
445,ingham,42.6,-84.38,87.91,62,1,5.82
446,henties bay,-22.12,14.28,60.01,85,0,5.44
447,tilichiki,60.47,166.1,64.29,51,0,4.76
448,doha,25.29,51.53,94.44,63,26,2.24
449,makakilo city,21.35,-158.09,80.19,78,75,5.82
450,lorengau,-2.02,147.27,82.6,79,100,7.14
451,anan,33.92,134.65,75.2,100,75,11.41
452,synya,65.37,58.04,55.38,79,0,5.77
453,thanatpin,17.21,96.3,78.8,94,40,4.7
454,altagracia de orituco,9.86,-66.38,74.86,93,100,2.08
455,anqing,30.51,117.05,75.36,89,100,4.47
456,nome,64.5,-165.41,58.77,76,75,13.87
457,lahaina,20.88,-156.68,76.51,83,90,9.17
458,hereford,52.06,-2.71,60.26,84,100,1.99
459,san ramon de la nueva oran,-23.13,-64.33,60.91,32,0,2.17
460,manuk mangkaw,4.8,119.85,84.18,72,93,8.99
461,prainha,-1.8,-53.48,83.08,60,16,2.51
462,pacific grove,36.62,-121.92,68.07,64,1,12.75
463,tam ky,15.57,108.48,77.0,88,20,4.7
464,atasu,48.68,71.64,66.97,45,52,7.23
465,seshcha,53.74,33.34,61.38,96,85,6.53
466,norilsk,69.35,88.2,44.6,87,78,15.66
467,los teques,10.34,-67.04,76.55,83,75,3.36
468,san cristobal,7.77,-72.22,84.2,66,40,11.41
469,san ramon,37.78,-121.98,83.35,17,1,14.99
470,horta,38.53,-28.63,73.09,89,63,5.91
471,poum,-20.23,164.02,73.81,79,0,19.04
472,sawtell,-30.38,153.1,59.54,67,58,8.05
473,seoul,37.57,126.98,73.4,88,90,3.15
474,plettenberg bay,-34.05,23.37,54.09,67,51,1.12
475,oranjestad,12.52,-70.03,84.2,79,20,23.04
476,belmonte,-15.86,-38.88,75.2,73,18,6.93
477,bundaberg,-24.85,152.35,55.4,82,32,8.05
478,samarinda,-0.5,117.15,72.95,95,92,2.8
479,zhezkazgan,47.8,67.71,73.9,34,78,10.83
480,abonnema,4.71,6.79,75.2,100,75,4.29
481,narok,-1.08,35.86,54.0,77,1,1.9
482,muravlenko,63.79,74.52,54.5,58,100,10.47
483,necochea,-38.55,-58.74,50.0,76,100,5.01
484,talcahuano,-36.72,-73.12,53.6,81,75,6.93
485,san-pedro,4.75,-6.64,74.08,86,93,6.08
486,bismarck,46.81,-100.78,82.13,34,1,13.87
487,pinotepa de don luis,16.42,-97.92,85.24,56,89,7.52
488,mizan teferi,6.98,35.58,61.52,92,100,1.81
489,bonfim,3.08,-59.95,81.66,75,66,4.0
490,oga,46.46,10.35,53.92,100,20,1.12
491,bouca,6.51,18.27,69.98,96,100,1.21
492,bolobo,-2.17,16.23,79.45,53,99,0.69
493,nuuk,64.18,-51.72,55.4,66,57,6.93
494,baylo,7.85,126.06,73.96,90,44,0.65
495,fuxin,42.02,121.66,72.18,70,100,4.0
496,chernaya kholunitsa,58.85,51.72,56.64,90,62,1.21
497,havelock,34.88,-76.9,86.29,68,15,10.0
498,traverse city,44.76,-85.62,82.8,62,75,5.82
499,champoton,19.35,-90.72,87.8,66,90,17.22
500,mandalgovi,45.76,106.27,60.85,78,0,10.58
501,delemont,47.36,7.34,64.22,88,45,6.93
502,chauk,20.88,94.82,83.73,75,100,8.72
503,kambove,-10.88,26.6,54.41,62,33,8.12
504,tutoia,-2.76,-42.27,78.21,78,0,7.45
505,touros,-5.2,-35.46,73.4,88,75,6.93
506,babati,-4.22,35.75,56.62,84,11,2.01
507,graaff-reinet,-32.25,24.53,46.0,82,82,4.0
508,noumea,-22.28,166.46,73.72,73,2,3.36
509,pilot butte,50.47,-104.42,75.4,44,20,14.99
510,atar,20.52,-13.05,93.36,30,0,13.67
511,valenca do piaui,-6.41,-41.75,75.56,34,6,6.11
512,natchez,31.56,-91.4,82.4,78,40,11.41
513,denpasar,-8.65,115.22,78.8,100,20,9.17
514,loikaw,19.67,97.21,69.12,93,100,1.52
515,madaoua,14.07,5.96,88.88,49,1,8.39
516,malindi,-3.22,40.12,76.62,78,59,18.77
517,along,28.17,94.77,72.59,89,39,1.21
518,bonito,-21.12,-56.48,70.38,53,84,1.83
519,saint anthony,45.02,-93.22,85.5,58,20,9.17
520,high prairie,55.43,-116.49,73.78,53,0,6.82
521,high rock,26.62,-78.28,86.0,70,40,6.93
522,raudeberg,61.99,5.14,57.07,93,100,17.22
523,kununurra,-15.77,128.73,62.6,36,10,8.05
524,mogadishu,2.04,45.34,76.86,84,13,19.13
525,mecca,21.43,39.83,88.36,47,50,10.22
526,viedma,-40.81,-63.0,48.99,76,83,11.01
527,tomatlan,19.93,-105.25,84.92,69,80,6.96
528,lyuban,52.8,28.0,63.91,93,100,7.67
529,bonavista,48.65,-53.11,57.69,96,100,18.19
530,hirara,24.8,125.28,83.14,83,75,9.17
531,russell,32.35,-85.2,84.58,55,1,4.7
532,burns lake,54.23,-125.75,80.2,32,0,6.69
533,hakkari,37.58,44.17,63.12,29,0,3.4
534,marzuq,14.4,46.47,77.59,61,94,3.76
535,villaviciosa,43.48,-5.44,64.06,93,20,4.7
536,padang,-0.95,100.35,73.4,100,40,4.76
537,matam,15.62,-13.33,87.8,74,42,2.24
538,la seyne-sur-mer,43.1,5.88,76.03,57,0,5.99
539,palu,-0.89,119.87,73.87,79,63,3.06
540,talmenka,53.82,83.57,57.2,93,0,2.24
541,tamworth,52.63,-1.7,60.66,77,20,6.93
542,perth,-31.93,115.83,59.02,82,0,9.17
543,yabrud,33.97,36.66,80.6,54,0,4.7
544,paraiso,9.84,-83.87,71.76,83,75,8.05
545,veraval,20.9,70.37,83.07,82,1,11.21
546,novyy urgal,51.07,132.56,66.52,94,99,0.54
547,tongren,27.72,109.19,72.82,91,100,2.21
